folio,incidente_c4,fecha_creacion,hora_creacion,mes_creacion,año_creacion,fecha_cierre,mes_cierre,año_cierre,hora_cierre,colonia,codigo_cierre,clas_con_f_alarma,delegacion_cierre,manzana,longitud_centroide,latitud_centroide
C5/210102/06871,Denuncia-Persona Sospechosa,02/01/2021,23:05:14,Enero,2021,02/01/2021,Enero,2021,23:19:54,DEL MAR,Negativo,SERVICIO,TLAHUAC,901000000000000,-99.061024,19.28801
C5/210102/07102,Disturbio-Fiestas,02/01/2021,23:27:21,Enero,2021,02/01/2021,Enero,2021,23:39:49,PROGRESO NACIONAL,Afirmativo,FALTA CÍVICA,GUSTAVO A. MADERO,901000000000000,-99.158555,19.518293
C5/210102/07182,Disturbio-Fiestas,02/01/2021,23:38:31,Enero,2021,02/01/2021,Enero,2021,23:49:50,JARDINES DE SAN LORENZO TEZONCO,Negativo,FALTA CÍVICA,IZTAPALAPA,901000000000000,-99.07439,19.295809
C5/210102/07264,Denuncia-Persona Sospechosa,02/01/2021,23:45:33,Enero,2021,03/01/2021,Enero,2021,00:01:12,AÑO DE JUAREZ,Negativo,SERVICIO,IZTAPALAPA,090070001198A016,-99.074117,19.317648
C5/210103/00570,Administrativas-Ebrios,03/01/2021,01:17:34,Enero,2021,03/01/2021,Enero,2021,01:21:26,DESARROLLO URBANO EL PIRU,Negativo,FALTA CÍVICA,ALVARO OBREGON,901000000000000,-99.218721,19.381797
C5/210103/00587,Servicios-Alarma Activada,03/01/2021,01:19:56,Enero,2021,03/01/2021,Enero,2021,01:43:37,LA GUADALUPITA TULYEHUALCO,Negativo,SERVICIO,XOCHIMILCO,901000000000000,-99.016439,19.258011
C5/210103/00767,Médicos-Infarto,03/01/2021,01:48:35,Enero,2021,03/01/2021,Enero,2021,02:42:34,CAMPESTRE CHURUBUSCO,Afirmativo,URGENCIAS MEDICAS,COYOACAN,900000000000000,-99.135772,19.343293
C5/210103/00873,Disturbio-Fiestas,03/01/2021,02:13:21,Enero,2021,03/01/2021,Enero,2021,02:30:32,CENTRO,Afirmativo,FALTA CÍVICA,CUAUHTEMOC,902000000000000,-99.139732,19.439156
C5/210103/00958,Servicios-Alarma Activada,03/01/2021,02:31:43,Enero,2021,03/01/2021,Enero,2021,03:47:04,GRANJAS CABRERA,Negativo,SERVICIO,TLAHUAC,901000000000000,-99.063728,19.302522
C5/210103/01406,Médicos-Dolor,03/01/2021,04:55:13,Enero,2021,03/01/2021,Enero,2021,05:04:16,SAN FELIPE DE JESUS,Negativo,URGENCIAS MEDICAS,GUSTAVO A. MADERO,901000000000000,-99.082947,19.493576
C5/210103/01411,Agresión-Persona,03/01/2021,04:50:29,Enero,2021,03/01/2021,Enero,2021,05:27:27,LAS CRUCES,Negativo,DELITO,IZTAPALAPA,901000000000000,-98.973974,19.329882
C5/210103/01423,Disturbio-Escándalo,03/01/2021,05:07:23,Enero,2021,03/01/2021,Enero,2021,05:19:20,MARTIRES DE RIO BLANCO,Negativo,FALTA CÍVICA,GUSTAVO A. MADERO,901000000000000,-99.113676,19.460295
C5/210103/02415,Derrame o Fuga-Agua Potable,03/01/2021,10:56:53,Enero,2021,03/01/2021,Enero,2021,12:01:46,SAN JUAN DE ARAGON 2DA SECC,Negativo,SERVICIO,GUSTAVO A. MADERO,901000000000000,-99.084483,19.454773
C5/210103/03043,Explosión-Transformador,03/01/2021,13:01:19,Enero,2021,03/01/2021,Enero,2021,13:25:40,PEQUEÑA TEPEXIMILPA,Negativo,EMERGENCIA,TLALPAN,901000000000000,-99.188528,19.274811
C5/210103/03744,Médicos-Convulsiones,03/01/2021,15:06:21,Enero,2021,03/01/2021,Enero,2021,15:58:11,ESTACION PANTACO,Afirmativo,URGENCIAS MEDICAS,AZCAPOTZALCO,900000000000000,-99.174105,19.500949
C5/210103/03833,Servicios-Otros,03/01/2021,15:19:23,Enero,2021,03/01/2021,Enero,2021,15:30:59,SAN JUAN DE ARAGON 6TA SECC,Afirmativo,SERVICIO,GUSTAVO A. MADERO,901000000000000,-99.066336,19.466982
C5/210103/03873,Servicios-Alarma Activada,03/01/2021,15:27:26,Enero,2021,03/01/2021,Enero,2021,15:43:54,CENTRO,Afirmativo,SERVICIO,CUAUHTEMOC,902000000000000,-99.132679,19.436259
C5/210103/04199,Incendio-Quema de Basura,03/01/2021,16:21:05,Enero,2021,03/01/2021,Enero,2021,16:48:36,MOCTEZUMA 2DA SECC,Negativo,EMERGENCIA,VENUSTIANO CARRANZA,090170001055A009,-99.0992,19.435289
C5/210103/04416,Agresión-Persona,03/01/2021,16:49:45,Enero,2021,03/01/2021,Enero,2021,17:25:11,2DA AMPL SANTIAGO ACAHUALTEPEC,Duplicado,DELITO,IZTAPALAPA,901000000000000,-99.010287,19.34542
C5/210103/04648,Administrativas-Ebrios,03/01/2021,17:24:34,Enero,2021,03/01/2021,Enero,2021,17:32:50,SAN FRANCISCO XOCOTITLA,Afirmativo,FALTA CÍVICA,AZCAPOTZALCO,900000000000000,-99.147271,19.468432
C5/210103/04974,Médicos-Inconsciente,03/01/2021,18:15:46,Enero,2021,03/01/2021,Enero,2021,18:49:48,SAN FRANCISCO CULHUACAN,Afirmativo,URGENCIAS MEDICAS,COYOACAN,090030001022A008,-99.120302,19.341515
C5/210103/05056,Disturbio-Quema de Pirotecnia,03/01/2021,18:28:27,Enero,2021,03/01/2021,Enero,2021,18:33:35,REFORMA IZTACCIHUATL NORTE,Negativo,DELITO,IZTACALCO,901000000000000,-99.125804,19.38386
C5/210103/05298,Denuncia-Hechos,03/01/2021,19:04:58,Enero,2021,03/01/2021,Enero,2021,19:36:10,SANTA MARIA LA RIBERA,Afirmativo,SERVICIO,CUAUHTEMOC,902000000000000,-99.157262,19.454451
C5/210103/05324,Disturbio-Escándalo,03/01/2021,19:08:28,Enero,2021,03/01/2021,Enero,2021,20:04:57,REVOLUCION,Duplicado,FALTA CÍVICA,VENUSTIANO CARRANZA,902000000000000,-99.103235,19.439315
C5/210103/05672,Agresión-Persona,03/01/2021,19:55:30,Enero,2021,03/01/2021,Enero,2021,20:17:14,CUCHILLA GABRIEL RAMOS MILLAN,Negativo,DELITO,IZTACALCO,901000000000000,-99.089585,19.390461
C5/210103/05983,Administrativas-Ebrios,03/01/2021,20:44:20,Enero,2021,03/01/2021,Enero,2021,21:12:23,POLVORA,Negativo,FALTA CÍVICA,ALVARO OBREGON,901000000000000,-99.204836,19.392526
C5/210103/06206,Disturbio-Fiestas,03/01/2021,21:19:05,Enero,2021,03/01/2021,Enero,2021,21:29:30,UNID HAB EJERC DE OTE ZONA PEÑON,Negativo,FALTA CÍVICA,IZTAPALAPA,901000000000000,-99.026061,19.37055
C5/210103/06229,Médicos-Inconsciente,03/01/2021,21:24:18,Enero,2021,03/01/2021,Enero,2021,21:36:22,CALTONGO,Negativo,URGENCIAS MEDICAS,XOCHIMILCO,901000000000000,-99.095855,19.253979
C5/210103/06300,Disturbio-Riña,03/01/2021,21:35:29,Enero,2021,03/01/2021,Enero,2021,21:45:48,AMPL MALACATES,Negativo,DELITO,GUSTAVO A. MADERO,901000000000000,-99.128864,19.573815
